name,price,description,link,photo link
Ноутбук ASUS R414UV-FA266D,от 15 158 грн. ,"Тип - Ультрабук
Тип процессора - i7-7500U
Диагональ экрана - 14 дюйм.
Разрешение экрана - 1920x1080 пикс.
Объем видеопамяти - 2048 Мб",https://price.ua/asus/asus_r414uv-fa266d/catc839t14m3148578.html,https:/images/preload.gif
Ноутбук Apple MacBook Air MD760,18 668 грн. ,"Тип - Ноутбук
Тип процессора - Intel Core i5-4250U
Диагональ экрана - 13.3 дюйм.
Разрешение экрана - 1440x900 пикс.
Вес - 1.35 кг",https://price.ua/main/gate.html?hash=YTo0OntzOjE6InUiO2E6OTp7czoxOiJ3IjtzOjI6IjIxIjtzOjE6InMiO2k6Mjg0O3M6MToiciI7aTowO3M6MToidCI7aTo0O3M6MToicCI7aTo0O3M6MToieSI7aTq17s5022q0q7501o64471sos63s4rr69owO3M6MToibSI7aToyO3M6MToiZiI7aToyO3M6MToiZSI7aTo1O31zOjE6InkiO3M6MTA6IjQ5MDE4MDE3NTAiO3M6MToiYyI7aToxO3M6MzoiY2pzIjtpOjE7fQ%3D%3D,https:/images/preload.gif
Ноутбук ASUS X507UB (X507UB-EJ043),от 12 599 грн. ,"Тип - Ноутбук
Тип процессора - Intel Core i3-6006U
Частота - 2 ГГц
Диагональ экрана - 15.6 дюйм.
Разрешение экрана - 1920x1080 пикс.",https://price.ua/asus/asus_x507ub-ej043_90nb0hn1-m00780/catc839t14m3410459.html,https:/images/preload.gif
Ноутбук ASUS VivoBook 15 X542UA (X542UA-DM250),от 10 002 грн. ,"Тип - Ноутбук
Тип процессора - Intel Pentium 4405U
Частота - 2,1 ГГц
Диагональ экрана - 15.6 дюйм.
Разрешение экрана - 1920x1080 пикс.",https://price.ua/asus/asus_vivobook_15_x542ua_x542ua-dm250/catc839t14m3265213.html,https:/images/preload.gif
Ноутбук ASUS VivoBook X540MB-GQ016 (90NB0IQ3-M00240),от 10 649 грн. ,"Тип - Ноутбук
Тип процессора - Intel Pentium Silver N5000
Частота - 1,1-2,7 ГГц
Диагональ экрана - 15.6 дюйм.
Разрешение экрана - 1366x768 пикс.",https://price.ua/asus/asus_vivobook_x540mb-gq016_90nb0iq3-m00240/catc839t14m3705897.html,https:/images/preload.gif
Ноутбук Lenovo IdeaPad 320S-15IKB (81BQ004CRA),от 18 799 грн. ,"Тип - Ноутбук
Тип процессора - 8250U
Частота - 1.6 ГГц
Диагональ экрана - 15.6 дюйм.
Разрешение экрана - 1920x1080 пикс.",https://price.ua/lenovo/lenovo_ideapad_320s-15ikb_81bq004cra/catc839t14m3270313.html,https:/images/preload.gif
Ноутбук ASUS VivoBook 15 X542UF (X542UF-DM399),от 16 172 грн. ,"Тип - Ноутбук
Тип процессора - Intel Core i3-8130U
Частота - 2,2-3,4 ГГц
Диагональ экрана - 15.6 дюйм.
Разрешение экрана - 1920x1080 пикс.",https://price.ua/asus/asus_vivobook_15_x542uf_x542uf-dm399/catc839t14m3705530.html,https:/images/preload.gif
Ноутбук ASUS VivoBook E203NA (E203NA-FD144T),10 605 грн. ,"Тип - Ноутбук
Тип процессора - Intel Pentium N4200
Частота - 1,1-2,5 ГГц
Диагональ экрана - 11.6 дюйм.
Разрешение экрана - 1366x768 пикс.",https://price.ua/main/gate.html?hash=YTo0OntzOjE6InUiO2E6OTp7czoxOiJ3IjtzOjI6IjIxIjtzOjE6InMiO2k6Mjg0O3M6MToiciI7aTowO3M6MToidCI7aTo0O3M6MToicCI7aTo0O3M6MToieSI7aTq17s5022q0q7501o64471sos63s4rr69owO3M6MToibSI7aToyO3M6MToiZiI7aToyO3M6MToiZSI7aTo1O31zOjE6InkiO3M6MTA6IjQ5MzU3NzMwOTkiO3M6MToiYyI7aToxO3M6MzoiY2pzIjtpOjE7fQ%3D%3D,https:/images/preload.gif
Ноутбук Lenovo IdeaPad 330-15IKBR (81DE01FPRA),от 13 975 грн. ,"Тип - Ноутбук
Тип процессора - Intel Core i3-7020
Частота - 2,3 ГГц
Диагональ экрана - 15.6 дюйм.
Разрешение экрана - 1920x1080 пикс.",https://price.ua/lenovo/lenovo_ideapad_330-15ikbr_81de01fpra/catc839t14m3710735.html,https:/images/preload.gif
Ноутбук Acer Swift 1 SF114-32-C16P (NX.GXREU.004),от 13 704 грн. ,"Тип - Ноутбук
Тип процессора - N4000
Частота - 1.1 - 2.6 ГГц
Диагональ экрана - 14 дюйм.
Разрешение экрана - 1920x1080 пикс.",https://price.ua/acer/acer_swift_1_sf114-32-c16p_nx_gxreu_004/catc839t14m3522063.html,https:/images/preload.gif
